esn,pn,sn,desc,vstream
999010,54321P01,822106416,shroud,cmc
999010,54321P01,664475698,shroud,cmc
999010,54321P01,2430976214,shroud,cmc
999010,54321P01,1277358392,shroud,cmc
999010,54321P01,8668054501,shroud,cmc
999010,54321P01,8701192851,shroud,cmc
999010,54321P01,1184168310,shroud,cmc
999010,54321P01,7441727173,shroud,cmc
999010,54321P01,3925781607,shroud,cmc
999010,54321P01,1487332503,shroud,cmc
999010,54321P01,2044257581,shroud,cmc
999010,54321P01,9597083692,shroud,cmc
999010,54321P01,5242248869,shroud,cmc
999010,54321P01,1287551775,shroud,cmc
999010,54321P01,8756257308,shroud,cmc
999010,54321P01,6927776132,shroud,cmc
999010,54321P01,1590863358,shroud,cmc
999010,54321P01,9039234936,shroud,cmc
999010,54321P01,1286402429,shroud,cmc
999010,54321P01,541013756,shroud,cmc
999010,54321P01,1654983420,shroud,cmc
999010,54321P01,9365565357,shroud,cmc
999010,54321P01,8901136027,shroud,cmc
999010,54321P01,5798183827,shroud,cmc
999010,54321P01,4891516068,shroud,cmc
999010,54321P01,9514446658,shroud,cmc
999010,54321P01,191149348,shroud,cmc
999010,54321P01,1059808564,shroud,cmc
999010,54321P01,4114187195,shroud,cmc
999010,54321P01,6667425970,shroud,cmc
999010,54321P01,3470613718,shroud,cmc
999010,54321P01,6906771329,shroud,cmc
999010,54321P01,7610600626,shroud,cmc
999010,54321P01,5863902954,shroud,cmc
999010,54321P01,3257843981,shroud,cmc
999010,54321P01,57136047,shroud,cmc
999010,54321P01,6146906599,shroud,cmc
999010,54321P01,2623891051,shroud,cmc
999010,54321P01,8603218640,shroud,cmc
999010,54321P01,5292814762,shroud,cmc
999010,54321P01,9230619769,shroud,cmc
999010,54321P01,8502243284,shroud,cmc
999010,54321P01,5921448138,shroud,cmc
999010,54321P01,943039733,shroud,cmc
999010,54321P01,5415631664,shroud,cmc
999010,54321P01,2642784900,shroud,cmc
999010,54321P01,7421187353,shroud,cmc
999010,54321P01,6473236344,shroud,cmc
999010,54321P01,3926981405,shroud,cmc
999010,54321P01,33359436,shroud,cmc
999010,54321P01,5910320332,shroud,cmc
999010,54321P01,3487160140,shroud,cmc
999010,54321P01,1435776454,shroud,cmc
999010,54321P01,6508431173,shroud,cmc
999010,54321P01,6319300597,shroud,cmc
999010,54321P01,8553995616,shroud,cmc
999010,54321P01,4657322869,shroud,cmc
999010,54321P01,4354582764,shroud,cmc
999010,54321P01,4712263302,shroud,cmc
999010,54321P01,1526696537,shroud,cmc
999010,44321P02,6306433250,blade,machined_airfoils
999010,44321P02,7167247814,blade,machined_airfoils
999010,44321P02,370513361,blade,machined_airfoils
999010,44321P02,7123920477,blade,machined_airfoils
999010,44321P02,4622020643,blade,machined_airfoils
999010,44321P02,8098678513,blade,machined_airfoils
999010,44321P02,8293876846,blade,machined_airfoils
999010,44321P02,6055540936,blade,machined_airfoils
999010,44321P02,1146777140,blade,machined_airfoils
999010,44321P02,5981882854,blade,machined_airfoils
999010,44321P02,3135592783,blade,machined_airfoils
999010,44321P02,7381011070,blade,machined_airfoils
999010,44321P02,5901299276,blade,machined_airfoils
999010,44321P02,8975834954,blade,machined_airfoils
999010,44321P02,4680976600,blade,machined_airfoils
999010,44321P02,5613652548,blade,machined_airfoils
999010,44321P02,9946836928,blade,machined_airfoils
999010,44321P02,5519237124,blade,machined_airfoils
999010,44321P02,5848122687,blade,machined_airfoils
999010,44321P02,2319549920,blade,machined_airfoils
999010,44321P02,8450899083,blade,machined_airfoils
999010,44321P02,456782531,blade,machined_airfoils
999010,44321P02,319802587,blade,machined_airfoils
999010,44321P02,9970138738,blade,machined_airfoils
999010,44321P02,6846076886,blade,machined_airfoils
999010,44321P02,9787122691,blade,machined_airfoils
999010,44321P02,2995698058,blade,machined_airfoils
999010,44321P02,7041789550,blade,machined_airfoils
999010,44321P02,300863176,blade,machined_airfoils
999010,44321P02,9385813107,blade,machined_airfoils
999010,44321P02,7547135183,blade,machined_airfoils
999010,44321P02,4047281477,blade,machined_airfoils
999010,44321P02,7852632412,blade,machined_airfoils
999010,44321P02,6113589698,blade,machined_airfoils
999010,44321P02,8957144436,blade,machined_airfoils
999010,44321P02,342988544,blade,machined_airfoils
999010,44321P02,217048741,blade,machined_airfoils
999010,44321P02,1705906146,blade,machined_airfoils
999010,44321P02,6543362801,blade,machined_airfoils
999010,44321P02,2593523608,blade,machined_airfoils
999010,65421P11,7071520443,disk,rotating_parts
999133,54321P01,431032488,shroud,cmc
999133,54321P01,4983029022,shroud,cmc
999133,54321P01,7366097141,shroud,cmc
999133,54321P01,3885483526,shroud,cmc
999133,54321P01,2741353279,shroud,cmc
999133,54321P01,8703518335,shroud,cmc
999133,54321P01,825494124,shroud,cmc
999133,54321P01,4708924675,shroud,cmc
999133,54321P01,66701541,shroud,cmc
999133,54321P01,7110406536,shroud,cmc
999133,54321P01,2607241693,shroud,cmc
999133,54321P01,369725112,shroud,cmc
999133,54321P01,7139378281,shroud,cmc
999133,54321P01,7504577265,shroud,cmc
999133,54321P01,5232308673,shroud,cmc
999133,54321P01,4711858716,shroud,cmc
999133,54321P01,4902023721,shroud,cmc
999133,54321P01,6958460068,shroud,cmc
999133,54321P01,5162598418,shroud,cmc
999133,54321P01,2084687241,shroud,cmc
999133,54321P01,6270354277,shroud,cmc
999133,54321P01,5539854309,shroud,cmc
999133,54321P01,6804152516,shroud,cmc
999133,54321P01,9788333647,shroud,cmc
999133,54321P01,66358183,shroud,cmc
999133,54321P01,8561290469,shroud,cmc
999133,54321P01,6413793946,shroud,cmc
999133,54321P01,2753253859,shroud,cmc
999133,54321P01,8195455851,shroud,cmc
999133,54321P01,2328597069,shroud,cmc
999133,54321P01,6789950342,shroud,cmc
999133,54321P01,2321403935,shroud,cmc
999133,54321P01,7264099135,shroud,cmc
999133,54321P01,5403779910,shroud,cmc
999133,54321P01,6069504129,shroud,cmc
999133,54321P01,8279803518,shroud,cmc
999133,54321P01,7124520159,shroud,cmc
999133,54321P01,3003583830,shroud,cmc
999133,54321P01,1631480226,shroud,cmc
999133,54321P01,7587573275,shroud,cmc
999133,54321P01,5914036208,shroud,cmc
999133,54321P01,8351987897,shroud,cmc
999133,54321P01,2890759236,shroud,cmc
999133,54321P01,2684817220,shroud,cmc
999133,54321P01,2144623493,shroud,cmc
999133,54321P01,5381136688,shroud,cmc
999133,54321P01,64582585,shroud,cmc
999133,54321P01,3737335376,shroud,cmc
999133,54321P01,4340229132,shroud,cmc
999133,54321P01,2959131272,shroud,cmc
999133,54321P01,6881302315,shroud,cmc
999009,54321P01,5802276425,shroud,cmc
999009,54321P01,1674204593,shroud,cmc
999009,54321P01,356090554,shroud,cmc
999009,54321P01,1051661323,shroud,cmc
999009,54321P01,5253654577,shroud,cmc
999009,54321P01,4044327746,shroud,cmc
999009,54321P01,6264920784,shroud,cmc
999009,54321P01,5077899150,shroud,cmc
999009,54321P01,4683889396,shroud,cmc
999009,54321P01,222219801,shroud,cmc
999009,54321P01,8929887748,shroud,cmc
999009,54321P01,9273873660,shroud,cmc
999009,54321P01,7713804643,shroud,cmc
999009,54321P01,4297359869,shroud,cmc
999009,54321P01,9374019806,shroud,cmc
999009,54321P01,5238348656,shroud,cmc
999009,54321P01,3950357375,shroud,cmc
999009,54321P01,9861301244,shroud,cmc
999009,54321P01,8425541401,shroud,cmc
999009,54321P01,5191302776,shroud,cmc
999009,54321P01,9185657789,shroud,cmc
999009,54321P01,2364144518,shroud,cmc
999009,54321P01,8909122390,shroud,cmc
999009,54321P01,7738123615,shroud,cmc
999009,54321P01,1515927880,shroud,cmc
999009,54321P01,3028502391,shroud,cmc
999009,54321P01,1797254085,shroud,cmc
999009,54321P01,8957012871,shroud,cmc
999009,54321P01,8539097312,shroud,cmc
999009,54321P01,4786358473,shroud,cmc
999009,54321P01,1003158129,shroud,cmc
999009,54321P01,9136793460,shroud,cmc
999009,54321P01,2541241849,shroud,cmc
999009,54321P01,8180237732,shroud,cmc
999009,54321P01,7541221640,shroud,cmc
999009,54321P01,2398841584,shroud,cmc
999009,54321P01,3934359022,shroud,cmc
999009,54321P01,2973712962,shroud,cmc
999009,54321P01,3040981446,shroud,cmc
999009,54321P01,5858854147,shroud,cmc
999009,54321P01,3306257264,shroud,cmc
999009,54321P01,1314277699,shroud,cmc
999009,54321P01,2502866921,shroud,cmc
999009,54321P01,7151723365,shroud,cmc
999009,54321P01,6654762807,shroud,cmc
999009,54321P01,7276451870,shroud,cmc
999009,54321P01,639853950,shroud,cmc
999009,54321P01,7280949681,shroud,cmc
999009,54321P01,6290368370,shroud,cmc
999009,54321P01,6612371160,shroud,cmc
999009,54321P01,2560275450,shroud,cmc
999009,54321P01,8962162713,shroud,cmc
999009,54321P01,4897414718,shroud,cmc
999009,54321P01,7330366930,shroud,cmc
999009,54321P01,4388754617,shroud,cmc
999009,54321P01,4493419570,shroud,cmc
999009,54321P01,9774865070,shroud,cmc
